"EpgHpoly","LogEpgHpoly","EpgHpolyInt","Diet","Treated","IdExp","Sex","Group","Timept","Age","Dpi","ExpDay","Timept2","BodyWeight","FatScoreTotal","IggTitre","IggStd","IggStdCorrected","IgaConc"
0,0,0,"Transbreed","Y","COL01_01","F","Exp","primary",23,2,34,"primary",NA,NA,NA,NA,NA,NA
0,0,0,"Transbreed","Y","COL01_01","F","Exp","primary",24,4,36,"primary",19.5,NA,NA,NA,NA,NA
0,0,0,"Transbreed","Y","COL01_01","F","Exp","primary",24,7,39,"primary",19,6,NA,NA,NA,NA
0,0,0,"Transbreed","Y","COL01_01","F","Exp","primary",24,9,41,"primary",NA,NA,NA,NA,NA,NA
22.8571428571429,3.17208366336144,23,"Transbreed","Y","COL01_01","F","Exp","primary",25,11,43,"primary",NA,NA,NA,NA,NA,NA
6.58616904500549,2.02632672683144,7,"Transbreed","Y","COL01_01","F","Exp","primary",25,14,46,"primary",19,6,0,-0.003497769,0,13.37
0,0,0,"Transbreed","Y","COL01_01","F","Exp","post.treat",25,16,48,"primary",NA,NA,NA,NA,NA,NA
0,0,0,"Transbreed","Y","COL01_01","F","Exp","post.treat",26,18,50,"primary",18.5,NA,NA,NA,NA,NA
0,0,0,"Transbreed","Y","COL01_01","F","Exp","post.treat",26,21,53,"primary",18.75,NA,0,-0.022668727,0,10.02
0,0,0,"Transbreed","Y","COL01_01","F","Exp","reinfection",26,2,55,"reinfection",NA,NA,NA,NA,NA,NA
0,0,0,"Transbreed","Y","COL01_01","F","Exp","reinfection",27,4,57,"reinfection",NA,NA,NA,NA,NA,NA
0,0,0,"Transbreed","Y","COL01_01","F","Exp","reinfection",27,7,60,"reinfection",18.5,6,NA,NA,NA,NA
0,0,0,"Transbreed","Y","COL01_01","F","Exp","reinfection",27,9,62,"reinfection",NA,NA,NA,NA,NA,NA
0,0,0,"Transbreed","Y","COL01_01","F","Exp","reinfection",28,11,64,"reinfection",NA,NA,NA,NA,NA,NA
0,0,0,"Transbreed","Y","COL01_01","F","Exp","reinfection",28,14,67,"reinfection",19,6,102400,1.123926061,1.155310057,12.427
0,0,0,"RM1","Y","COL01_03","F","Exp","primary",23,2,34,"primary",NA,NA,NA,NA,NA,NA
0,0,0,"RM1","Y","COL01_03","F","Exp","primary",24,4,36,"primary",18,NA,NA,NA,NA,NA
0,0,0,"RM1","Y","COL01_03","F","Exp","primary",24,7,39,"primary",18,7,NA,NA,NA,NA
0,0,0,"RM1","Y","COL01_03","F","Exp","primary",24,9,41,"primary",NA,NA,NA,NA,NA,NA
18.2926829268293,2.95972590106335,19,"RM1","Y","COL01_03","F","Exp","primary",25,11,43,"primary",NA,NA,NA,NA,NA,NA
15.7977883096367,2.82124722950691,16,"RM1","Y","COL01_03","F","Exp","primary",25,14,46,"primary",19,7,400,0.041104332,0.089292469,9.937
0,0,0,"RM1","Y","COL01_03","F","Exp","post.treat",25,16,48,"primary",NA,NA,NA,NA,NA,NA
0,0,0,"RM1","Y","COL01_03","F","Exp","post.treat",26,18,50,"primary",19,NA,NA,NA,NA,NA
0,0,0,"RM1","Y","COL01_03","F","Exp","post.treat",26,21,53,"primary",19,7,200,0.024484381,0.07254734,NA
0,0,0,"RM1","Y","COL01_03","F","Exp","reinfection",26,2,55,"reinfection",NA,NA,NA,NA,NA,NA
0,0,0,"RM1","Y","COL01_03","F","Exp","reinfection",27,4,57,"reinfection",NA,NA,NA,NA,NA,NA
0,0,0,"RM1","Y","COL01_03","F","Exp","reinfection",27,7,60,"reinfection",18.5,7,NA,NA,NA,NA
0,0,0,"RM1","Y","COL01_03","F","Exp","reinfection",27,9,62,"reinfection",NA,NA,NA,NA,NA,NA
0,0,0,"RM1","Y","COL01_03","F","Exp","reinfection",28,11,64,"reinfection",NA,NA,NA,NA,NA,NA
0,0,0,"RM1","Y","COL01_03","F","Exp","reinfection",28,14,67,"reinfection",19,7,51200,0.95620814,1.053692,9.691
0,0,0,"Transbreed","N","COL01_04","F","Exp","primary",23,2,34,"primary",NA,NA,NA,NA,NA,NA
0,0,0,"Transbreed","N","COL01_04","F","Exp","primary",23,4,36,"primary",18.75,NA,NA,NA,NA,NA
0,0,0,"Transbreed","N","COL01_04","F","Exp","primary",23,7,39,"primary",20,8,NA,NA,NA,NA
2.95420974889217,1.37478077060808,3,"Transbreed","N","COL01_04","F","Exp","primary",24,9,41,"primary",NA,NA,NA,NA,NA,NA
14.2348754448399,2.7235872368112,15,"Transbreed","N","COL01_04","F","Exp","primary",24,11,43,"primary",NA,NA,NA,NA,NA,NA
9.80392156862745,2.37990917642859,10,"Transbreed","N","COL01_04","F","Exp","primary",24,14,46,"primary",19,7.5,3200,0.03447279,0.072599222,10.537
0,0,0,"Transbreed","N","COL01_04","F","Exp","post.treat",25,16,48,"primary",NA,NA,NA,NA,NA,NA
3.02114803625378,1.39156744301805,4,"Transbreed","N","COL01_04","F","Exp","post.treat",25,18,50,"primary",NA,NA,NA,NA,NA,NA
0,0,0,"Transbreed","N","COL01_04","F","Exp","post.treat",25,21,53,"primary",18.5,7.5,25600,0.395620438,0.451527512,11.331
0,0,0,"Transbreed","N","COL01_04","F","Exp","reinfection",26,2,55,"reinfection",NA,NA,NA,NA,NA,NA
0,0,0,"Transbreed","N","COL01_04","F","Exp","reinfection",26,4,57,"reinfection",NA,NA,NA,NA,NA,NA
0,0,0,"Transbreed","N","COL01_04","F","Exp","reinfection",26,7,60,"reinfection",17.75,7,NA,NA,NA,NA
0,0,0,"Transbreed","N","COL01_04","F","Exp","reinfection",27,9,62,"reinfection",NA,NA,NA,NA,NA,NA
